,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
59,1784160350000,5097601,178416.07,178416.24841606998,62445624500.0,62445686945.6245
60,1814400350000,5184001,184464.07116666666,184464.2556307378,64562424908.33333,64562489470.75823
61,1844640350000,5270401,190612.87233333333,190613.06294620564,66714505316.666664,66714572031.171974
62,1874880350000,5356801,196862.4735,196862.67036247347,68901865725.0,68901934626.8657
63,1905120350000,5443201,203212.87466666667,203213.07787954132,71124506133.33333,71124577257.83946
64,1935360350000,5529601,209664.07583333334,209664.28549740915,73382426541.66667,73382499924.0932
65,1965600350000,5616001,216216.077,216216.29321607697,75675626950.0,75675702625.62694
66,1995840350000,5702401,222868.87816666666,222869.10103554482,78004107358.33333,78004185362.44069
67,2026080350000,5788801,229622.47933333332,229622.70895581265,80367867766.66666,80367948134.53442
68,2056320350000,5875201,236476.8805,236477.11697688047,82766908175.0,82766990941.90816
69,2086560350000,5961601,243432.08166666667,243432.32509874832,85201228583.33333,85201313784.5619
70,2116800350000,6048001,250488.08283333332,250488.33332141614,87670828991.66666,87670916662.49565
71,2147040350000,6134401,257644.884,257645.14164488396,90175709400.0,90175799575.70938
72,2177280350000,6220801,7242.398833333334,7242.406075732167,2534839591.666667,2534842126.5062585
73,2207520350000,6307201,7141.5988333333335,7141.605974932167,2499559591.6666665,2499562091.2262583
74,2237760350000,6393601,7040.798833333333,7040.805874132166,2464279591.6666665,2464282055.946258
75,2268000350000,6480001,6939.998833333333,6940.0057733321655,2428999591.6666665,2429002020.666258
76,2298240350000,6566401,6839.198833333333,6839.205672532165,2393719591.6666665,2393721985.386258
77,2328480350000,6652801,6738.398833333334,6738.405571732166,2358439591.666667,2358441950.1062584
78,2358720350000,6739201,6637.5988333333335,6637.605470932166,2323159591.6666665,2323161914.826258
79,2388960350000,6825601,6536.798833333333,6536.805370132166,2287879591.6666665,2287881879.546258
80,2419200350000,6912001,6435.998833333333,6436.005269332166,2252599591.6666665,2252601844.2662582
81,2449440350000,6998401,6335.198833333333,6335.205168532166,2217319591.6666665,2217321808.986258
82,2479680350000,7084801,6234.398833333334,6234.405067732167,2182039591.666667,2182041773.7062583
83,2509920350000,7171201,6133.5988333333335,6133.6049669321665,2146759591.6666667,2146761738.4262583
84,2540160350000,7257601,6032.798833333333,6032.804866132166,2111479591.6666667,2111481703.146258
85,2570400350000,7344001,5931.998833333333,5932.004765332166,2076199591.6666665,2076201667.8662581
86,2600640350000,7430401,5831.198833333333,5831.204664532166,2040919591.6666665,2040921632.5862582
87,2630880350000,7516801,5730.398833333334,5730.404563732167,2005639591.6666667,2005641597.3062584
88,2661120350000,7603201,5629.5988333333335,5629.604462932166,1970359591.6666667,1970361562.026258
