,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
47,1421280350000,4060801,9475.202333333333,9475.211808535665,3316320816.6666665,3316324132.987483
48,1451520350000,4147201,9676.802333333333,9676.812010135665,3386880816.6666665,3386884203.547483
49,1481760350000,4233601,9878.402333333333,9878.412211735666,3457440816.6666665,3457444274.107483
50,1512000350000,4320001,10080.002333333334,10080.012413335666,3528000816.666667,3528004344.667483
51,1542240350000,4406401,10281.602333333334,10281.612614935666,3598560816.666667,3598564415.2274833
52,1572480350000,4492801,10483.202333333333,10483.212816535664,3669120816.6666665,3669124485.7874827
53,1602720350000,4579201,10684.802333333333,10684.813018135666,3739680816.6666665,3739684556.347483
54,1632960350000,4665601,10886.402333333333,10886.413219735667,3810240816.6666665,3810244626.907483
55,1663200350000,4752001,11088.002333333334,11088.013421335667,3880800816.666667,3880804697.4674835
56,1693440350000,4838401,11289.602333333334,11289.613622935667,3951360816.666667,3951364768.0274835
57,1723680350000,4924801,11491.202333333333,11491.213824535665,4021920816.6666665,4021924838.587483
58,1753920350000,5011201,11692.802333333333,11692.814026135666,4092480816.6666665,4092484909.147483
59,1784160350000,5097601,11894.402333333333,11894.414227735666,4163040816.6666665,4163044979.7074833
60,1814400350000,5184001,12096.002333333334,12096.014429335666,4233600816.666667,4233605050.267483
61,1844640350000,5270401,12297.602333333334,12297.614630935666,4304160816.666667,4304165120.827483
62,1874880350000,5356801,12499.202333333333,12499.214832535665,4374720816.666666,4374725191.387483
63,1905120350000,5443201,12700.802333333333,12700.815034135665,4445280816.666667,4445285261.947483
64,1935360350000,5529601,12902.402333333333,12902.415235735665,4515840816.666667,4515845332.507483
65,1965600350000,5616001,13104.002333333334,13104.015437335665,4586400816.666667,4586405403.067483
66,1995840350000,5702401,13305.602333333334,13305.615638935666,4656960816.666667,4656965473.627483
67,2026080350000,5788801,13507.202333333333,13507.215840535666,4727520816.666666,4727525544.187483
68,2056320350000,5875201,13708.802333333333,13708.816042135666,4798080816.666667,4798085614.747483
69,2086560350000,5961601,13910.402333333333,13910.416243735666,4868640816.666667,4868645685.307484
